DATE,DTWEXB
2013-10-15,100.8838
2013-10-16,100.8033
2013-10-17,100.1519
2013-10-18,100.1196
2013-10-21,100.3736
2013-10-22,100.0869
2013-10-23,100.1867
2013-10-24,100.2778
2013-10-25,100.2432
2013-10-28,100.2719
2013-10-29,100.3931
2013-10-30,100.3986
2013-10-31,100.8446
2013-11-01,101.2765
2013-11-04,101.062
2013-11-05,101.3451
2013-11-06,101.2264
2013-11-07,101.5311
2013-11-08,101.7888
2013-11-11,.
2013-11-12,101.91
2013-11-13,101.639
2013-11-14,101.578
2013-11-15,101.4382
2013-11-18,101.131
2013-11-19,101.2117
2013-11-20,101.4142
2013-11-21,101.7334
2013-11-22,101.5837
2013-11-25,101.7105
2013-11-26,101.6942
2013-11-27,101.8721
2013-11-28,.
2013-11-29,101.8224
2013-12-02,102.0729
2013-12-03,102.014
2013-12-04,102.0792
2013-12-05,101.6708
2013-12-06,101.5619
2013-12-09,101.286
2013-12-10,.
2013-12-11,101.2412
2013-12-12,101.5808
2013-12-13,101.5164
2013-12-16,101.383
2013-12-17,101.4573
2013-12-18,101.5888
2013-12-19,101.9221
2013-12-20,101.9082
2013-12-23,101.7646
2013-12-24,101.8696
2013-12-25,.
2013-12-26,101.9656
2013-12-27,101.8902
2013-12-30,101.6809
2013-12-31,101.7423
2014-01-01,.
2014-01-02,101.9927
2014-01-03,102.037
2014-01-06,102.1027
2014-01-07,102.2214
2014-01-08,102.3966
2014-01-09,102.5032
2014-01-10,102.1592
2014-01-13,102.0373
2014-01-14,102.1663
2014-01-15,102.491
2014-01-16,102.7122
2014-01-17,102.748
2014-01-20,.
2014-01-21,102.8687
2014-01-22,103.0401
2014-01-23,103.0506
2014-01-24,103.0727
2014-01-27,103.1362
2014-01-28,103.1012
2014-01-29,103.0869
2014-01-30,103.3579
2014-01-31,103.4174
2014-02-03,103.4908
2014-02-04,103.2744
2014-02-05,103.2436
2014-02-06,102.934
2014-02-07,102.9786
2014-02-10,102.9442
2014-02-11,102.8673
2014-02-12,102.8542
2014-02-13,102.7638
2014-02-14,102.5186
2014-02-17,.
2014-02-18,102.4529
2014-02-19,102.6468
2014-02-20,102.9352
2014-02-21,102.9118
2014-02-24,102.6926
2014-02-25,102.799
2014-02-26,103.0947
2014-02-27,103.0052
2014-02-28,102.7398
2014-03-03,102.9602
2014-03-04,103.0021
2014-03-05,102.808
2014-03-06,102.3192
2014-03-07,102.5876
2014-03-10,102.7164
2014-03-11,102.7356
2014-03-12,102.8149
2014-03-13,102.5381
2014-03-14,102.6056
2014-03-17,102.5803
2014-03-18,102.6582
2014-03-19,102.765
2014-03-20,103.4348
2014-03-21,103.2975
2014-03-24,103.1579
2014-03-25,103.0401
2014-03-26,102.9435
2014-03-27,102.7648
2014-03-28,102.7968
2014-03-31,102.6652
2014-04-01,102.5222
2014-04-02,102.7169
2014-04-03,102.927
2014-04-04,102.6317
2014-04-07,102.5091
2014-04-08,102.0625
2014-04-09,102.0719
2014-04-10,101.9259
2014-04-11,102.0482
2014-04-14,102.2362
2014-04-15,102.3873
2014-04-16,102.3773
2014-04-17,102.3161
2014-04-18,102.3872
2014-04-21,102.4699
2014-04-22,102.5386
2014-04-23,102.6038
2014-04-24,102.6016
2014-04-25,102.6466
2014-04-28,102.6126
2014-04-29,102.5101
2014-04-30,102.381
2014-05-01,102.3614
2014-05-02,102.3055
2014-05-05,102.2011
2014-05-06,101.8847
2014-05-07,101.8819
2014-05-08,101.8083
2014-05-09,102.0938
2014-05-12,102.1003
2014-05-13,102.1018
2014-05-14,102.0091
2014-05-15,102.1253
2014-05-16,102.0303
2014-05-19,101.9223
2014-05-20,102.0948
2014-05-21,102.1768
2014-05-22,102.1123
2014-05-23,102.1234
2014-05-26,.
2014-05-27,102.277
2014-05-28,102.3157
2014-05-29,102.1186
2014-05-30,102.2024
2014-06-02,102.4469
2014-06-03,102.5041
2014-06-04,102.5714
2014-06-05,102.4195
2014-06-06,102.336
2014-06-09,102.3771
2014-06-10,102.4617
2014-06-11,102.3843
2014-06-12,102.2183
2014-06-13,102.3196
2014-06-16,102.297
2014-06-17,102.5265
2014-06-18,102.495
2014-06-19,102.1894
2014-06-20,102.2035
2014-06-23,102.0661
2014-06-24,102.1397
2014-06-25,102.0298
2014-06-26,101.9788
2014-06-27,101.8205
2014-06-30,101.6172
2014-07-01,101.556
2014-07-02,101.6799
2014-07-03,101.7479
2014-07-04,.
2014-07-07,101.8004
2014-07-08,101.7314
2014-07-09,101.629
2014-07-10,101.718
2014-07-11,101.824
2014-07-14,101.8227
2014-07-15,102.0063
2014-07-16,102.0249
2014-07-17,102.0941
2014-07-18,102.0989
2014-07-21,102.0393
2014-07-22,102.0464
2014-07-23,101.9971
2014-07-24,102.0872
2014-07-25,102.2203
2014-07-28,102.2276
2014-07-29,102.4268
2014-07-30,102.7183
2014-07-31,102.833
2014-08-01,102.8743
2014-08-04,102.8425
2014-08-05,103.0578
2014-08-06,102.994
2014-08-07,103.0281
2014-08-08,102.9669
2014-08-11,102.8286
2014-08-12,102.882
2014-08-13,102.8111
2014-08-14,102.6968
2014-08-15,102.6209
2014-08-18,102.5741
2014-08-19,102.7503
2014-08-20,102.9189
2014-08-21,103.0052
2014-08-22,103.1269
2014-08-25,103.2458
2014-08-26,103.1896
2014-08-27,103.0064
